,ICT_Export,ICT_Import,Exchange_Rate,GFCF_Total_Real,Software_Investment,Corporate_Loan_Rate,GFCF_InfoComm_Quarterly,전기기기 및 장치_계절조정지수,전기기기 및 장치_원지수,컴퓨터사무용기계_계절조정지수,컴퓨터사무용기계_원지수,특수산업용기계_계절조정지수,특수산업용기계_원지수
2024-06-01,,,,,,4.88,26629.51111111111,126.6,127.1,124.7,120.9,132.1,142.8
2024-07-01,,,,,,4.78,26649.866666666665,114.9,114.9,94.8,93.8,139.9,120.5
2024-08-01,,,,,,4.67,26670.222222222223,112.6,108.6,98.4,90.6,141.1,102.2
2024-09-01,,,,,,4.77,26690.577777777777,116.2,113.6,97.9,89.8,197.8,182.1
2024-10-01,,,,,,4.71,26710.933333333334,116.4,118.7,97.9,87.3,190.8,150.2
2024-11-01,,,,,,4.76,26731.28888888889,114.7,125.7,100.5,93.0,190.2,183.9
2024-12-01,,,,,,4.62,26751.644444444446,131.1,162.2,104.0,123.5,169.8,235.3
2025-01-01,,,,,,4.5,26772.0,101.1,88.4,102.1,142.8,114.5,125.0
2025-02-01,,,,,,4.43,26562.4,124.2,106.6,103.1,106.8,190.9,153.0
2025-03-01,,,,,,4.32,26562.4,142.0,145.4,88.1,100.3,212.3,240.7
2025-04-01,,,,,,4.14,26562.4,124.8,119.0,126.2,117.8,141.8,150.3
2025-05-01,,,,,,4.16,26562.4,115.0,112.5,132.7,109.0,125.3,129.5
2025-06-01,,,,,,4.06,26562.4,125.8,129.0,89.7,89.1,148.5,163.1
2025-07-01,,,,,,4.04,26562.4,126.6,126.3,94.3,93.7,152.3,130.8
2025-08-01,,,,,,4.04,26562.4,126.6,126.3,94.3,93.7,152.3,130.8
2025-09-01,,,,,,4.04,26562.4,126.6,126.3,94.3,93.7,152.3,130.8
2025-10-01,,,,,,4.04,26562.4,126.6,126.3,94.3,93.7,152.3,130.8
2025-11-01,,,,,,4.04,26562.4,126.6,126.3,94.3,93.7,152.3,130.8
2025-12-01,,,,,,4.04,26562.4,126.6,126.3,94.3,93.7,152.3,130.8
